,lambda_nm,spectral_intensity_mean_au,spec_int_stddev_au
367,350.107,450.4,5.9363288318623315
368,350.506,444.9,4.784349485562274
369,350.905,444.0,4.538722287164087
370,351.304,446.3,4.817675788178361
371,351.703,448.5,3.7483329627982624
372,352.102,444.7,9.788258272031856
373,352.501,450.2,6.910861017268399
374,352.9,450.0,4.58257569495584
375,353.3,450.8,6.508456038109193
376,353.699,450.3,6.972087205421343
377,354.098,450.8,7.318469785412795
378,354.498,445.3,8.136952746575343
379,354.897,446.2,4.512205669071391
380,355.296,447.1,7.231182475916369
381,355.696,449.3,5.478138369920935
382,356.095,447.3,7.9
383,356.495,448.3,7.430343195303969
384,356.895,447.4,3.352610922848042
385,357.294,447.5,5.084289527554465
386,357.694,442.7,5.728001396647874
387,358.094,445.8,7.068238818828917
388,358.494,444.7,7.2394751190953075
389,358.893,446.6,5.571355310873647
390,359.293,447.3,9.17660067781093
391,359.693,446.7,6.165225056719342
392,360.093,446.0,6.196773353931867
393,360.493,445.9,8.33606621854697
394,360.893,447.4,5.0635955604688645
395,361.294,444.5,6.682065548915245
396,361.694,447.5,4.522167621838006
397,362.094,446.2,5.192301994298868
398,362.494,447.0,6.0332412515993425
399,362.895,447.5,5.748912940721924
400,363.295,446.5,5.103920062069938
401,363.696,450.9,5.593746508378798
402,364.096,452.6,8.69712596206356
403,364.497,450.0,9.746794344808963
404,364.897,447.2,8.506468127254694
405,365.298,445.7,7.6164296097318465
406,365.698,451.1,5.593746508378798
407,366.099,450.9,6.963476143421473
408,366.5,447.6,4.565084884205331
409,366.901,446.6,5.199999999999999
410,367.302,451.7,7.211795892841118
411,367.703,447.8,6.44670458451448
412,368.104,448.2,6.939740629158989
413,368.505,447.3,4.980963762164908
414,368.906,445.3,3.494281041931229
415,369.307,448.7,6.197580172938467
416,369.708,448.1,4.134005321718877
417,370.109,446.7,7.416872656315465
418,370.51,445.7,7.59012516365837
419,370.912,450.2,3.9949968710876353
420,371.313,457.4,6.945502141674134
421,371.714,447.1,5.262128846769148
422,372.116,451.9,6.833008122342603
423,372.517,447.6,5.314132102234569
424,372.919,450.9,6.640030120413611
425,373.32,448.0,4.732863826479693
426,373.722,452.5,8.237111144084436
427,374.124,449.1,5.6648036153074175
428,374.525,445.3,6.649060083951716
429,374.927,453.7,2.9
430,375.329,448.5,6.697014260101288
431,375.731,448.9,5.611595138639279
432,376.133,445.1,6.3
433,376.535,449.2,9.271461589199408
434,376.937,449.1,5.80430874437258
435,377.339,447.6,5.023942674832188
436,377.741,448.4,6.785278181474949
437,378.143,448.0,5.059644256269407
