Wavelength[nm],Intensity[normalized],Phase[rad]
753.72,0.19835996,-0.24296145
754.16,0.20786497,-0.20271562
754.60,0.23759157,-0.16328534
755.04,0.27062027,-0.12540528
755.48,0.28691286,-0.08883357
755.92,0.27641390,-0.05381662
756.36,0.24611647,-0.02060080
756.80,0.21863273,0.01081163
757.24,0.21901765,0.04041844
757.68,0.25949143,0.06797325
758.12,0.33377336,0.09322969
758.56,0.42070959,0.11618554
759.00,0.49427244,0.13659445
759.44,0.53574351,0.15347765
759.88,0.53898148,0.16756534
760.32,0.50816043,0.17909948
760.76,0.45365409,0.18758959
761.20,0.38841820,0.19327763
761.64,0.32366979,0.19591728
762.07,0.26756413,0.19550636
762.51,0.22727239,0.19204271
762.95,0.20708335,0.18528001
763.39,0.20651420,0.17521612
763.83,0.22353129,0.16160474
764.27,0.25733464,0.14395545
764.71,0.30738523,0.12080126
765.15,0.37161304,0.09433731
765.59,0.44561491,0.06407318
766.03,0.52323293,0.03025089
766.47,0.59835497,-0.00688753
766.91,0.66255469,-0.04758834
767.35,0.70255386,-0.09160949
767.79,0.70954158,-0.13895310
768.23,0.68820007,-0.18986539
768.67,0.64965333,-0.24386018
769.10,0.60133910,-0.30167197
769.54,0.54593623,-0.36257041
769.98,0.48565874,-0.44364743
770.42,0.42493344,-0.52757110
770.86,0.36803639,-0.61312279
771.30,0.31771615,-0.70006040
771.74,0.27706127,-0.78740943
772.18,0.24791556,-0.87468365
772.62,0.22766019,-0.96115266
773.06,0.21168169,-1.04584195
773.49,0.19777921,-1.12850939
773.93,0.18580892,-1.20793632
774.37,0.17476552,-1.28388061
774.81,0.16266835,-1.35536772
775.25,0.14948064,-1.41629612
775.69,0.13760239,-1.46813268
776.13,0.12883694,-1.51429736
776.57,0.12278852,-1.55405972
777.00,0.11883295,-1.58742176
777.44,0.11768132,-1.61340889
777.88,0.11986242,-1.63226724
778.32,0.12567333,-1.64351049
778.76,0.13588529,-1.64665233
779.20,0.14958531,-1.64145058
779.63,0.16483627,-1.62717478
780.07,0.18193505,-1.60407101
780.51,0.20216018,-1.56945568
780.95,0.22567664,-1.49208073
781.39,0.25410467,-1.40563950
781.83,0.29053573,-1.31135462
782.26,0.33408341,-1.21020459
782.70,0.37798696,-1.10316788
783.14,0.41462527,-0.99097885
783.58,0.44492949,-0.87461595
784.02,0.48092502,-0.75530180
784.45,0.53301167,-0.63401486
784.89,0.60106842,-0.51148946
785.33,0.67924434,-0.38870404
785.77,0.75962917,-0.26663707
786.21,0.84178217,-0.15066150
786.64,0.92792039,-0.04785930
