,lambda_nm,spectral_intensity_mean_au,spec_int_stddev_au
61,230.306,447.22727272727275,5.881428759263785
62,230.691,450.64285714285717,6.469387023521727
63,231.075,448.77272727272725,6.454156747029792
64,231.459,446.9415584415584,6.0250957991920515
65,231.843,448.2792207792208,6.758829485657381
66,232.228,449.26623376623377,6.439571462502613
67,232.612,450.0844155844156,6.456599662664008
68,232.997,449.0779220779221,7.241235156472323
69,233.381,450.18831168831167,7.03494937679151
70,233.766,451.96753246753246,5.718980509420158
71,234.15,455.06493506493507,6.438192983430009
72,234.535,451.7792207792208,6.642295364142074
73,234.92,456.6363636363636,6.691551352573796
74,235.305,452.44805194805195,6.015177996947702
75,235.689,451.7597402597403,7.389054026941109
76,236.074,451.1753246753247,6.258638826415933
77,236.459,451.9155844155844,5.684281469745282
78,236.844,451.04545454545456,6.677487774246136
79,237.229,450.7207792207792,6.608236451823182
80,237.614,450.14935064935065,6.852606355545166
81,237.999,450.84415584415586,6.290716588473194
82,238.384,447.7857142857143,6.7995075124507265
83,238.77,448.538961038961,6.557570342031395
84,239.155,449.74675324675326,6.131207893866765
85,239.54,449.2987012987013,6.505871344388743
86,239.926,448.92857142857144,7.00936955763835
87,240.311,448.73376623376623,6.013018568821298
88,240.696,448.55194805194805,6.767034501563693
89,241.082,448.7597402597403,6.299922896668153
90,241.467,449.2402597402597,6.917937530275539
91,241.853,449.5974025974026,6.158638195439875
92,242.239,451.05194805194805,6.581943233162535
93,242.624,453.95454545454544,6.4338198436388785
94,243.01,454.68831168831167,6.951146294816509
95,243.396,449.3181818181818,6.665188246145229
96,243.782,449.97402597402595,6.4986992224398925
97,244.167,451.46753246753246,6.7141726735692675
98,244.553,451.90909090909093,6.285794783213224
99,244.939,451.14935064935065,5.877297801581406
100,245.325,453.38961038961037,6.706569456449233
101,245.711,450.84415584415586,6.236809322174851
102,246.098,452.8636363636364,7.051819496089708
103,246.484,452.4155844155844,5.5685822051345815
104,246.87,453.9025974025974,6.491522424159825
105,247.256,452.6038961038961,6.12151711860397
106,247.642,452.64935064935065,6.348670448327006
107,248.029,454.05194805194805,6.303773563521971
108,248.415,453.76623376623377,6.186277448726822
109,248.802,452.0974025974026,6.736959004634295
110,249.188,451.9025974025974,6.060056020185413
111,249.575,452.0779220779221,6.217416329321202
112,249.961,450.46753246753246,6.998301121458561
113,250.348,450.94805194805195,6.302743381034281
114,250.735,452.03246753246754,5.819156487238661
115,251.121,451.9415584415584,7.112488571179286
116,251.508,451.88961038961037,7.165539546402694
117,251.895,449.85714285714283,6.604237690536159
118,252.282,452.3636363636364,6.417122167041046
119,252.669,449.45454545454544,6.859528313921616
